"","sample_16s","transect_zone_year","transect_zone","transect","site","zone","species","year","core"
"1017","1017","Biscayne_off_16","Biscayne_off","Biscayne","Fowey","off","srad",16,NA
"1018","1018","Biscayne_off_16","Biscayne_off","Biscayne","Fowey","off","srad",16,NA
"1019","1019","Biscayne_off_16","Biscayne_off","Biscayne","Fowey","off","srad",16,NA
"1020","1020","Biscayne_off_16","Biscayne_off","Biscayne","Fowey","off","srad",16,NA
"1021","1021","Biscayne_off_16","Biscayne_off","Biscayne","Fowey","off","srad",16,NA
"1022","1022","Biscayne_off_16","Biscayne_off","Biscayne","Fowey","off","srad",16,NA
"1023","1023","Biscayne_off_16","Biscayne_off","Biscayne","Fowey","off","srad",16,NA
"1024","1024","Biscayne_off_16","Biscayne_off","Biscayne","Fowey","off","srad",16,NA
"1025","1025","Biscayne_off_16","Biscayne_off","Biscayne","Fowey","off","srad",16,NA
"1026","1026","Biscayne_off_16","Biscayne_off","Biscayne","Fowey","off","srad",16,NA
"1047","1047","Biscayne_in_16","Biscayne_in","Biscayne","Bache","in","srad",16,NA
"1048","1048","Biscayne_in_16","Biscayne_in","Biscayne","Bache","in","srad",16,NA
"1049","1049","Biscayne_in_16","Biscayne_in","Biscayne","Bache","in","srad",16,NA
"1050","1050","Biscayne_in_16","Biscayne_in","Biscayne","Bache","in","srad",16,NA
"1051","1051","Biscayne_in_16","Biscayne_in","Biscayne","Bache","in","srad",16,NA
"1052","1052","Biscayne_in_16","Biscayne_in","Biscayne","Bache","in","srad",16,NA
"1053","1053","Biscayne_in_16","Biscayne_in","Biscayne","Bache","in","srad",16,NA
"1054","1054","Biscayne_in_16","Biscayne_in","Biscayne","Bache","in","srad",16,NA
"1055","1055","Biscayne_in_16","Biscayne_in","Biscayne","Bache","in","srad",16,NA
"1056","1056","Biscayne_in_16","Biscayne_in","Biscayne","Bache","in","srad",16,NA
"111","111","Upper_off_15","Upper_off","Upper","Carysfort","off","srad",15,NA
"112","112","Upper_off_15","Upper_off","Upper","Carysfort","off","srad",15,NA
"113","113","Upper_off_15","Upper_off","Upper","Carysfort","off","srad",15,NA
"114","114","Upper_off_15","Upper_off","Upper","Carysfort","off","srad",15,NA
"115","115","Upper_off_15","Upper_off","Upper","Carysfort","off","srad",15,NA
"116","116","Upper_off_15","Upper_off","Upper","Carysfort","off","srad",15,NA
"117","117","Upper_off_15","Upper_off","Upper","Carysfort","off","srad",15,NA
"118","118","Upper_off_15","Upper_off","Upper","Carysfort","off","srad",15,NA
"119","119","Upper_off_15","Upper_off","Upper","Carysfort","off","srad",15,NA
"120","120","Upper_off_15","Upper_off","Upper","Carysfort","off","srad",15,NA
"141","141","Upper_in_15","Upper_in","Upper","BasinHill","in","srad",15,NA
"143","143","Upper_in_15","Upper_in","Upper","BasinHill","in","srad",15,NA
"144","144","Upper_in_15","Upper_in","Upper","BasinHill","in","srad",15,NA
"145","145","Upper_in_15","Upper_in","Upper","BasinHill","in","srad",15,NA
"147","147","Upper_in_15","Upper_in","Upper","BasinHill","in","srad",15,NA
"148","148","Upper_in_15","Upper_in","Upper","BasinHill","in","srad",15,NA
"149","149","Upper_in_15","Upper_in","Upper","BasinHill","in","srad",15,NA
"150","150","Upper_in_15","Upper_in","Upper","BasinHill","in","srad",15,NA
"21","21","Lower_off_15","Lower_off","Lower","ESambo","off","srad",15,NA
"22","22","Lower_off_15","Lower_off","Lower","ESambo","off","srad",15,NA
"23","23","Lower_off_15","Lower_off","Lower","ESambo","off","srad",15,NA
"24","24","Lower_off_15","Lower_off","Lower","ESambo","off","srad",15,NA
"25","25","Lower_off_15","Lower_off","Lower","ESambo","off","srad",15,NA
"26","26","Lower_off_15","Lower_off","Lower","ESambo","off","srad",15,NA
"27","27","Lower_off_15","Lower_off","Lower","ESambo","off","srad",15,NA
"28","28","Lower_off_15","Lower_off","Lower","ESambo","off","srad",15,NA
"29","29","Lower_off_15","Lower_off","Lower","ESambo","off","srad",15,NA
"30","30","Lower_off_15","Lower_off","Lower","ESambo","off","srad",15,NA
"51","51","Middle_off_15","Middle_off","Middle","RockyTop","off","srad",15,NA
"52","52","Middle_off_15","Middle_off","Middle","RockyTop","off","srad",15,NA
"53","53","Middle_off_15","Middle_off","Middle","RockyTop","off","srad",15,NA
"54","54","Middle_off_15","Middle_off","Middle","RockyTop","off","srad",15,NA
"55","55","Middle_off_15","Middle_off","Middle","RockyTop","off","srad",15,NA
"56","56","Middle_off_15","Middle_off","Middle","RockyTop","off","srad",15,NA
"57","57","Middle_off_15","Middle_off","Middle","RockyTop","off","srad",15,NA
"58","58","Middle_off_15","Middle_off","Middle","RockyTop","off","srad",15,NA
"59","59","Middle_off_15","Middle_off","Middle","RockyTop","off","srad",15,NA
"60","60","Middle_off_15","Middle_off","Middle","RockyTop","off","srad",15,NA
"726","726","Middle_in_17","Middle_in","Middle","Cheeca","in","srad",17,NA
"727","727","Middle_in_17","Middle_in","Middle","Cheeca","in","srad",17,NA
"729","729","Middle_in_17","Middle_in","Middle","Cheeca","in","srad",17,NA
"731","731","Middle_in_17","Middle_in","Middle","Cheeca","in","srad",17,NA
"732","732","Middle_in_17","Middle_in","Middle","Cheeca","in","srad",17,NA
"733","733","Middle_in_17","Middle_in","Middle","Cheeca","in","srad",17,NA
"735","735","Middle_in_17","Middle_in","Middle","Cheeca","in","srad",17,NA
"81","81","Middle_in_15","Middle_in","Middle","Cheeca","in","srad",15,NA
"82","82","Middle_in_15","Middle_in","Middle","Cheeca","in","srad",15,NA
"83","83","Middle_in_15","Middle_in","Middle","Cheeca","in","srad",15,NA
"84","84","Middle_in_15","Middle_in","Middle","Cheeca","in","srad",15,NA
