"","sample_16s","transect_zone_year","transect_zone","transect","site","zone","species","year","core"
"1","1","Lower_off_15","Lower_off","Lower","ESambo","off","ssid",15,NA
"10","10","Lower_off_15","Lower_off","Lower","ESambo","off","ssid",15,NA
"100","100","Upper_off_15","Upper_off","Upper","Carysfort","off","ssid",15,NA
"1007","1007","Biscayne_off_16","Biscayne_off","Biscayne","Fowey","off","ssid",16,NA
"1008","1008","Biscayne_off_16","Biscayne_off","Biscayne","Fowey","off","ssid",16,NA
"1009","1009","Biscayne_off_16","Biscayne_off","Biscayne","Fowey","off","ssid",16,NA
"1010","1010","Biscayne_off_16","Biscayne_off","Biscayne","Fowey","off","ssid",16,NA
"1011","1011","Biscayne_off_16","Biscayne_off","Biscayne","Fowey","off","ssid",16,NA
"1012","1012","Biscayne_off_16","Biscayne_off","Biscayne","Fowey","off","ssid",16,NA
"1013","1013","Biscayne_off_16","Biscayne_off","Biscayne","Fowey","off","ssid",16,NA
"1014","1014","Biscayne_off_16","Biscayne_off","Biscayne","Fowey","off","ssid",16,NA
"1015","1015","Biscayne_off_16","Biscayne_off","Biscayne","Fowey","off","ssid",16,NA
"1016","1016","Biscayne_off_16","Biscayne_off","Biscayne","Fowey","off","ssid",16,NA
"1037","1037","Biscayne_in_16","Biscayne_in","Biscayne","Bache","in","ssid",16,NA
"1038","1038","Biscayne_in_16","Biscayne_in","Biscayne","Bache","in","ssid",16,NA
"1039","1039","Biscayne_in_16","Biscayne_in","Biscayne","Bache","in","ssid",16,NA
"1040","1040","Biscayne_in_16","Biscayne_in","Biscayne","Bache","in","ssid",16,NA
"1041","1041","Biscayne_in_16","Biscayne_in","Biscayne","Bache","in","ssid",16,NA
"1042","1042","Biscayne_in_16","Biscayne_in","Biscayne","Bache","in","ssid",16,NA
"1043","1043","Biscayne_in_16","Biscayne_in","Biscayne","Bache","in","ssid",16,NA
"1044","1044","Biscayne_in_16","Biscayne_in","Biscayne","Bache","in","ssid",16,NA
"1045","1045","Biscayne_in_16","Biscayne_in","Biscayne","Bache","in","ssid",16,NA
"1046","1046","Biscayne_in_16","Biscayne_in","Biscayne","Bache","in","ssid",16,NA
"121","121","Upper_in_15","Upper_in","Upper","BasinHill","in","ssid",15,NA
"122","122","Upper_in_15","Upper_in","Upper","BasinHill","in","ssid",15,NA
"123","123","Upper_in_15","Upper_in","Upper","BasinHill","in","ssid",15,NA
"124","124","Upper_in_15","Upper_in","Upper","BasinHill","in","ssid",15,NA
"125","125","Upper_in_15","Upper_in","Upper","BasinHill","in","ssid",15,NA
"126","126","Upper_in_15","Upper_in","Upper","BasinHill","in","ssid",15,NA
"127","127","Upper_in_15","Upper_in","Upper","BasinHill","in","ssid",15,NA
"128","128","Upper_in_15","Upper_in","Upper","BasinHill","in","ssid",15,NA
"129","129","Upper_in_15","Upper_in","Upper","BasinHill","in","ssid",15,NA
"130","130","Upper_in_15","Upper_in","Upper","BasinHill","in","ssid",15,NA
"2","2","Lower_off_15","Lower_off","Lower","ESambo","off","ssid",15,NA
"3","3","Lower_off_15","Lower_off","Lower","ESambo","off","ssid",15,NA
"31","31","Middle_off_15","Middle_off","Middle","RockyTop","off","ssid",15,NA
"32","32","Middle_off_15","Middle_off","Middle","RockyTop","off","ssid",15,NA
"33","33","Middle_off_15","Middle_off","Middle","RockyTop","off","ssid",15,NA
"35","35","Middle_off_15","Middle_off","Middle","RockyTop","off","ssid",15,NA
"36","36","Middle_off_15","Middle_off","Middle","RockyTop","off","ssid",15,NA
"37","37","Middle_off_15","Middle_off","Middle","RockyTop","off","ssid",15,NA
"38","38","Middle_off_15","Middle_off","Middle","RockyTop","off","ssid",15,NA
"39","39","Middle_off_15","Middle_off","Middle","RockyTop","off","ssid",15,NA
"4","4","Lower_off_15","Lower_off","Lower","ESambo","off","ssid",15,NA
"40","40","Middle_off_15","Middle_off","Middle","RockyTop","off","ssid",15,NA
"5","5","Lower_off_15","Lower_off","Lower","ESambo","off","ssid",15,NA
"6","6","Lower_off_15","Lower_off","Lower","ESambo","off","ssid",15,NA
"61","61","Middle_in_15","Middle_in","Middle","Cheeca","in","ssid",15,NA
"62","62","Middle_in_15","Middle_in","Middle","Cheeca","in","ssid",15,NA
"63","63","Middle_in_15","Middle_in","Middle","Cheeca","in","ssid",15,NA
"64","64","Middle_in_15","Middle_in","Middle","Cheeca","in","ssid",15,NA
"65","65","Middle_in_15","Middle_in","Middle","Cheeca","in","ssid",15,NA
"66","66","Middle_in_15","Middle_in","Middle","Cheeca","in","ssid",15,NA
"67","67","Middle_in_15","Middle_in","Middle","Cheeca","in","ssid",15,NA
"68","68","Middle_in_15","Middle_in","Middle","Cheeca","in","ssid",15,NA
"69","69","Middle_in_15","Middle_in","Middle","Cheeca","in","ssid",15,NA
"7","7","Lower_off_15","Lower_off","Lower","ESambo","off","ssid",15,NA
"70","70","Middle_in_15","Middle_in","Middle","Cheeca","in","ssid",15,NA
"701","701","Middle_in_17","Middle_in","Middle","Cheeca","in","ssid",17,NA
"702","702","Middle_in_17","Middle_in","Middle","Cheeca","in","ssid",17,NA
"703","703","Middle_in_17","Middle_in","Middle","Cheeca","in","ssid",17,NA
"704","704","Middle_in_17","Middle_in","Middle","Cheeca","in","ssid",17,NA
"705","705","Middle_in_17","Middle_in","Middle","Cheeca","in","ssid",17,NA
"706","706","Middle_in_17","Middle_in","Middle","Cheeca","in","ssid",17,NA
"707","707","Middle_in_17","Middle_in","Middle","Cheeca","in","ssid",17,NA
"709","709","Middle_in_17","Middle_in","Middle","Cheeca","in","ssid",17,NA
"710","710","Middle_in_17","Middle_in","Middle","Cheeca","in","ssid",17,NA
"711","711","Middle_in_17","Middle_in","Middle","Cheeca","in","ssid",17,NA
"761","761","Middle_off_17","Middle_off","Middle","RockyTop","off","ssid",17,NA
"762","762","Middle_off_17","Middle_off","Middle","RockyTop","off","ssid",17,NA
"763","763","Middle_off_17","Middle_off","Middle","RockyTop","off","ssid",17,NA
"764","764","Middle_off_17","Middle_off","Middle","RockyTop","off","ssid",17,NA
"765","765","Middle_off_17","Middle_off","Middle","RockyTop","off","ssid",17,NA
"766","766","Middle_off_17","Middle_off","Middle","RockyTop","off","ssid",17,NA
"767","767","Middle_off_17","Middle_off","Middle","RockyTop","off","ssid",17,NA
"768","768","Middle_off_17","Middle_off","Middle","RockyTop","off","ssid",17,NA
"769","769","Middle_off_17","Middle_off","Middle","RockyTop","off","ssid",17,NA
"770","770","Middle_off_17","Middle_off","Middle","RockyTop","off","ssid",17,NA
"771","771","Middle_off_17","Middle_off","Middle","RockyTop","off","ssid",17,NA
"772","772","Middle_off_17","Middle_off","Middle","RockyTop","off","ssid",17,NA
"8","8","Lower_off_15","Lower_off","Lower","ESambo","off","ssid",15,NA
"821","821","Upper_in_17","Upper_in","Upper","BasinHill","in","ssid",17,NA
"822","822","Upper_in_17","Upper_in","Upper","BasinHill","in","ssid",17,NA
"823","823","Upper_in_17","Upper_in","Upper","BasinHill","in","ssid",17,NA
"824","824","Upper_in_17","Upper_in","Upper","BasinHill","in","ssid",17,NA
"825","825","Upper_in_17","Upper_in","Upper","BasinHill","in","ssid",17,NA
"826","826","Upper_in_17","Upper_in","Upper","BasinHill","in","ssid",17,NA
"827","827","Upper_in_17","Upper_in","Upper","BasinHill","in","ssid",17,NA
"829","829","Upper_in_17","Upper_in","Upper","BasinHill","in","ssid",17,NA
"830","830","Upper_in_17","Upper_in","Upper","BasinHill","in","ssid",17,NA
"883","883","Upper_off_17","Upper_off","Upper","Carysfort","off","ssid",17,NA
"884","884","Upper_off_17","Upper_off","Upper","Carysfort","off","ssid",17,NA
"885","885","Upper_off_17","Upper_off","Upper","Carysfort","off","ssid",17,NA
"886","886","Upper_off_17","Upper_off","Upper","Carysfort","off","ssid",17,NA
"887","887","Upper_off_17","Upper_off","Upper","Carysfort","off","ssid",17,NA
"888","888","Upper_off_17","Upper_off","Upper","Carysfort","off","ssid",17,NA
"889","889","Upper_off_17","Upper_off","Upper","Carysfort","off","ssid",17,NA
"890","890","Upper_off_17","Upper_off","Upper","Carysfort","off","ssid",17,NA
"91","91","Upper_off_15","Upper_off","Upper","Carysfort","off","ssid",15,NA
"916","916","Lower_off_17","Lower_off","Lower","ESambo","off","ssid",17,NA
"917","917","Lower_off_17","Lower_off","Lower","ESambo","off","ssid",17,NA
